Nro,Año,Período,Código Encuesta,Encuesta,Código Módulo,Módulo,Ficha,Descargar,Descargar.1,Descargar.2,VerPreguntas,VerFicha,SPSS,STATA,CSV
1,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,1,Características de la Vivienda y del Hogar,,,,,"javascript:VerPreguntas('280','01','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+la+Vivienda+y+del+Hogar')","javascript:VerFicha('280','01')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo01.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo01.zip,
2,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,2,Características de los Miembros del Hogar,,,,,"javascript:VerPreguntas('280','02','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+los+Miembros+del+Hogar')","javascript:VerFicha('280','02')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo02.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo02.zip,
3,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,3,Educación,,,,,"javascript:VerPreguntas('280','03','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Educaci%F3n')","javascript:VerFicha('280','03')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo03.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo03.zip,
4,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,4,Salud,,,,,"javascript:VerPreguntas('280','04','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Salud')","javascript:VerFicha('280','04')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo04.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo04.zip,
5,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,5,Empleo e Ingresos,,,,,"javascript:VerPreguntas('280','05','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Empleo+e+Ingresos')","javascript:VerFicha('280','05')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo05.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo05.zip,
6,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,7,Gastos en Alimentos y Bebidas (Módulo 601),,,,,"javascript:VerPreguntas('280','07','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Alimentos+y+Bebidas+%28M%F3dulo+601%29')","javascript:VerFicha('280','07')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo07.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo07.zip,
7,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,8,Instituciones Beneficas,,,,,"javascript:VerPreguntas('280','08','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Instituciones+Beneficas')","javascript:VerFicha('280','08')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo08.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo08.zip,
8,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,9,Mantenimiento de la Vivienda,,,,,"javascript:VerPreguntas('280','09','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Mantenimiento+de+la+Vivienda')","javascript:VerFicha('280','09')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo09.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo09.zip,
9,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,10,Transportes y Comunicaciones,,,,,"javascript:VerPreguntas('280','10','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Transportes+y+Comunicaciones')","javascript:VerFicha('280','10')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo10.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo10.zip,
10,2004,55,280,Condiciones de Vida y Pobreza - ENAHO,11,Servicios a la Vivienda,,,,,"javascript:VerPreguntas('280','11','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Servicios+a+la+Vivienda')","javascript:VerFicha('280','11')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo11.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo11.zip,
