,Nro,Año,Período,Código Encuesta,Encuesta,Código Módulo,Módulo,Ficha,Descargar,Descargar.1,Descargar.2,VerPreguntas,VerFicha,SPSS,DBF,CSV
0,1,2023,18,903,Encuesta Nacional de Programas Presupuestales - ENAPRES,1815,CAPÍTULO 100 : CARACTERÍSTICAS DE LA VIVIENDA Y DEL HOGAR,,,,,"javascript:VerPreguntas('903','1815','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP%CDTULO+100+%3A+CARACTER%CDSTICAS+DE+LA+VIVIENDA+Y+DEL+HOGAR')","javascript:VerFicha('903','1815')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/903-Modulo1815.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/903-Modulo1815.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/903-Modulo1815.zip
1,2,2023,18,903,Encuesta Nacional de Programas Presupuestales - ENAPRES,1816,CAPÍTULO 200 : CARACTERÍSTICAS DE LOS RESIDENTES HABITUALES DEL HOGAR,,,,,"javascript:VerPreguntas('903','1816','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP%CDTULO+200+%3A+CARACTER%CDSTICAS+DE+LOS+RESIDENTES+HABITUALES+DEL+HOGAR')","javascript:VerFicha('903','1816')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/903-Modulo1816.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/903-Modulo1816.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/903-Modulo1816.zip
2,3,2023,18,903,Encuesta Nacional de Programas Presupuestales - ENAPRES,1817,"CAPÍTULO 300 : IDENTIDAD, DISCAPACIDAD, EMERGENCIAS MÉDICAS, PROGRAMAS SOCIALES, EDUCACIÓN, AUTOIDENTIFICACIÓN ÉTNICA, PERCEPCIÓN DE INSEGURIDAD Y ORIENTACIÓN SEXUAL E IDENTIDAD DE GÉNERO",,,,,"javascript:VerPreguntas('903','1817','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP%CDTULO+300+%3A+IDENTIDAD%2C+DISCAPACIDAD%2C+EMERGENCIAS+M%C9DICAS%2C+PROGRAMAS+SOCIALES%2C+EDUCACI%D3N%2C+AUTOIDENTIFICACI%D3N+%C9TNICA%2C+PERCEPCI%D3N+DE+INSEGURIDAD+Y+ORIENTACI%D3N+SEXUAL+E+IDENTIDAD+DE+G%C9NERO')","javascript:VerFicha('903','1817')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/903-Modulo1817.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/903-Modulo1817.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/903-Modulo1817.zip
3,4,2023,18,903,Encuesta Nacional de Programas Presupuestales - ENAPRES,1818,CAPÍTULO 500 : TELECOMUNICACIÓN,,,,,"javascript:VerPreguntas('903','1818','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP%CDTULO+500+%3A+TELECOMUNICACI%D3N')","javascript:VerFicha('903','1818')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/903-Modulo1818.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/903-Modulo1818.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/903-Modulo1818.zip
4,5,2023,18,903,Encuesta Nacional de Programas Presupuestales - ENAPRES,1819,CAPÍTULO 600 : SEGURIDAD CIUDADANA,,,,,"javascript:VerPreguntas('903','1819','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP%CDTULO+600+%3A+SEGURIDAD+CIUDADANA')","javascript:VerFicha('903','1819')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/903-Modulo1819.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/903-Modulo1819.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/903-Modulo1819.zip
5,6,2023,18,903,Encuesta Nacional de Programas Presupuestales - ENAPRES,1820,CAPÍTULO 700 : SALUD,,,,,"javascript:VerPreguntas('903','1820','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP%CDTULO+700+%3A+SALUD')","javascript:VerFicha('903','1820')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/903-Modulo1820.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/903-Modulo1820.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/903-Modulo1820.zip
6,7,2023,18,903,Encuesta Nacional de Programas Presupuestales - ENAPRES,1821,CAPÍTULO 800 : SEGURIDAD VIAL,,,,,"javascript:VerPreguntas('903','1821','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP%CDTULO+800+%3A+SEGURIDAD+VIAL')","javascript:VerFicha('903','1821')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/903-Modulo1821.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/903-Modulo1821.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/903-Modulo1821.zip
7,8,2023,18,903,Encuesta Nacional de Programas Presupuestales - ENAPRES,1822,"CAPÍTULO 800A : PATRIMONIO, SERVICIOS Y BIENES CULTURALES",,,,,"javascript:VerPreguntas('903','1822','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP%CDTULO+800A+%3A+PATRIMONIO%2C+SERVICIOS+Y+BIENES+CULTURALES')","javascript:VerFicha('903','1822')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/903-Modulo1822.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/903-Modulo1822.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/903-Modulo1822.zip
8,9,2023,18,903,Encuesta Nacional de Programas Presupuestales - ENAPRES,1823,"CAPÍTULO 900 : ATENCIÓN DE INCENDIOS, MORTALIDAD, INFRAESTRUCTURA Y EXPOSICIÓN A DESASTRES",,,,,"javascript:VerPreguntas('903','1823','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP%CDTULO+900+%3A+ATENCI%D3N+DE+INCENDIOS%2C+MORTALIDAD%2C+INFRAESTRUCTURA+Y+EXPOSICI%D3N+A+DESASTRES')","javascript:VerFicha('903','1823')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/903-Modulo1823.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/903-Modulo1823.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/903-Modulo1823.zip
9,10,2023,18,903,Encuesta Nacional de Programas Presupuestales - ENAPRES,1824,CAPÍTULO 1000 : PROTECCIÓN AL CONSUMIDOR,,,,,"javascript:VerPreguntas('903','1824','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','CAP%CDTULO+1000+%3A++PROTECCI%D3N+AL+CONSUMIDOR')","javascript:VerFicha('903','1824')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/903-Modulo1824.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/903-Modulo1824.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/903-Modulo1824.zip
0,1,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,101,Características de la Vivienda y del Hogar Urbano y Rural,,,,,"javascript:VerPreguntas('266','101','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+la+Vivienda+y+del+Hogar+Urbano+y+Rural')","javascript:VerFicha('266','101')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo101.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo101.zip,
1,2,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,102,Características de los Residentes Habituales del Hogar Urbano y Rural,,,,,"javascript:VerPreguntas('266','102','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Caracter%EDsticas+de+los+Residentes+Habituales+del+Hogar+Urbano+y+Rural%0D%0A')","javascript:VerFicha('266','102')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo102.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo102.zip,
2,3,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,103,Acceso a Servicios Básicos Rural,,,,,"javascript:VerPreguntas('266','103','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Acceso+a+Servicios+B%E1sicos+Rural')","javascript:VerFicha('266','103')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo103.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo103.zip,
3,4,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,104,Telecomunicación Rural,,,,,"javascript:VerPreguntas('266','104','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Telecomunicaci%F3n+Rural')","javascript:VerFicha('266','104')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo104.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo104.zip,
4,5,2010,18,266,Encuesta Nacional de Programas Presupuestales - ENAPRES,105,Seguridad Ciudadana,,,,,"javascript:VerPreguntas('266','105','Encuesta+Nacional+de+Programas+Presupuestales+%2D+ENAPRES','Seguridad+Ciudadana')","javascript:VerFicha('266','105')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/266-Modulo105.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/DBF/266-Modulo105.zip,
