,Nro,Año,Período,Código Encuesta,Encuesta,Código Módulo,Módulo,Ficha,Descargar,Descargar.1,Descargar.2,VerPreguntas,VerFicha,SPSS,STATA,CSV,DBF
0,1,2023,5,910,Encuesta Demográfica y de Salud Familiar - ENDES,1629,Caracteristicas del Hogar,,,,,"javascript:VerPreguntas('910','1629','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Caracteristicas+del+Hogar')","javascript:VerFicha('910','1629')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/910-Modulo1629.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/910-Modulo1629.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1629.zip,
1,2,2023,5,910,Encuesta Demográfica y de Salud Familiar - ENDES,1630,Caracteristicas de la Vivienda,,,,,"javascript:VerPreguntas('910','1630','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','+Caracteristicas+de+la+Vivienda')","javascript:VerFicha('910','1630')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/910-Modulo1630.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/910-Modulo1630.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1630.zip,
2,3,2023,5,910,Encuesta Demográfica y de Salud Familiar - ENDES,1631,Datos Basicos de MEF,,,,,"javascript:VerPreguntas('910','1631','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Datos+Basicos+de+MEF')","javascript:VerFicha('910','1631')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/910-Modulo1631.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/910-Modulo1631.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1631.zip,
3,4,2023,5,910,Encuesta Demográfica y de Salud Familiar - ENDES,1632,Historia de Nacimiento - Tabla de Conocimiento de Metodo,,,,,"javascript:VerPreguntas('910','1632','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Historia+de+Nacimiento+%2D+Tabla+de+Conocimiento+de+Metodo')","javascript:VerFicha('910','1632')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/910-Modulo1632.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/910-Modulo1632.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1632.zip,
4,5,2023,5,910,Encuesta Demográfica y de Salud Familiar - ENDES,1633,"Embarazo, Parto, Puerperio y Lactancia",,,,,"javascript:VerPreguntas('910','1633','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Embarazo%2C+Parto%2C+Puerperio+y+Lactancia')","javascript:VerFicha('910','1633')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/910-Modulo1633.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/910-Modulo1633.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1633.zip,
5,6,2023,5,910,Encuesta Demográfica y de Salud Familiar - ENDES,1634,Inmunización y Salud,,,,,"javascript:VerPreguntas('910','1634','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Inmunizaci%F3n+y+Salud')","javascript:VerFicha('910','1634')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/910-Modulo1634.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/910-Modulo1634.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1634.zip,
6,7,2023,5,910,Encuesta Demográfica y de Salud Familiar - ENDES,1635,Nupcialidad - Fecundidad - Cónyugue y Mujer,,,,,"javascript:VerPreguntas('910','1635','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Nupcialidad+%2D+Fecundidad+%2D+C%F3nyugue+y+Mujer')","javascript:VerFicha('910','1635')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/910-Modulo1635.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/910-Modulo1635.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1635.zip,
7,8,2023,5,910,Encuesta Demográfica y de Salud Familiar - ENDES,1636,Conocimiento de Sida y uso del condón,,,,,"javascript:VerPreguntas('910','1636','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Conocimiento+de+Sida+y+uso+del+cond%F3n')","javascript:VerFicha('910','1636')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/910-Modulo1636.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/910-Modulo1636.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1636.zip,
8,9,2023,5,910,Encuesta Demográfica y de Salud Familiar - ENDES,1637,Mortalidad Materna - Violencia Familiar,,,,,"javascript:VerPreguntas('910','1637','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Mortalidad+Materna+%2D+Violencia+Familiar')","javascript:VerFicha('910','1637')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/910-Modulo1637.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/910-Modulo1637.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1637.zip,
9,10,2023,5,910,Encuesta Demográfica y de Salud Familiar - ENDES,1638,Peso y talla - Anemia,,,,,"javascript:VerPreguntas('910','1638','Encuesta+Demogr%E1fica+y+de+Salud+Familiar+%2D+ENDES','Peso+y+talla+%2D+Anemia')","javascript:VerFicha('910','1638')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/910-Modulo1638.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/910-Modulo1638.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/910-Modulo1638.zip,
