anio,periodo,codigo_encuesta,encuesta,modulo,verpreguntas,verficha,spss,stata,csv,encuesta_ref,unnamed:_0,dbf,codigo_modulo
2024,63,913,Condiciones de Vida y Pobreza - ENAHO,Características de la Vivienda y del Hogar,"javascript:VerPreguntas('913','01','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+la+Vivienda+y+del+Hogar')","javascript:VerFicha('913','01')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/913-Modulo01.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/913-Modulo01.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/913-Modulo01.zip,enaho,,,1
2024,63,913,Condiciones de Vida y Pobreza - ENAHO,Características de los Miembros del Hogar,"javascript:VerPreguntas('913','02','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+los+Miembros+del+Hogar')","javascript:VerFicha('913','02')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/913-Modulo02.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/913-Modulo02.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/913-Modulo02.zip,enaho,,,2
2024,63,913,Condiciones de Vida y Pobreza - ENAHO,Educación,"javascript:VerPreguntas('913','03','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Educaci%F3n')","javascript:VerFicha('913','03')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/913-Modulo03.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/913-Modulo03.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/913-Modulo03.zip,enaho,,,3
2024,63,913,Condiciones de Vida y Pobreza - ENAHO,Salud,"javascript:VerPreguntas('913','04','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Salud')","javascript:VerFicha('913','04')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/913-Modulo04.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/913-Modulo04.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/913-Modulo04.zip,enaho,,,4
2024,63,913,Condiciones de Vida y Pobreza - ENAHO,Gastos en Alimentos y Bebidas (Módulo 601),"javascript:VerPreguntas('913','07','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gastos+en+Alimentos+y+Bebidas+%28M%F3dulo+601%29')","javascript:VerFicha('913','07')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/913-Modulo07.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/913-Modulo07.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/913-Modulo07.zip,enaho,,,7
2024,63,913,Condiciones de Vida y Pobreza - ENAHO,Programas Sociales (Miembros del Hogar),"javascript:VerPreguntas('913','37','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Programas+Sociales++%28Miembros+del+Hogar%29')","javascript:VerFicha('913','37')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/913-Modulo37.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/913-Modulo37.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/913-Modulo37.zip,enaho,,,37
2024,63,913,Condiciones de Vida y Pobreza - ENAHO,"Gobernabilidad, Democracia y Transparencia","javascript:VerPreguntas('913','85','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Gobernabilidad%2C+Democracia+y+Transparencia')","javascript:VerFicha('913','85')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/913-Modulo85.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/913-Modulo85.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/CSV/913-Modulo85.zip,enaho,,,85
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Características de la Vivienda y del Hogar,"javascript:VerPreguntas('280','01','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+la+Vivienda+y+del+Hogar')","javascript:VerFicha('280','01')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo01.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo01.zip,,enaho,,,1
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Características de los Miembros del Hogar,"javascript:VerPreguntas('280','02','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Caracter%EDsticas+de+los+Miembros+del+Hogar')","javascript:VerFicha('280','02')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo02.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo02.zip,,enaho,,,2
2004,55,280,Condiciones de Vida y Pobreza - ENAHO,Educación,"javascript:VerPreguntas('280','03','Condiciones+de+Vida+y+Pobreza+%2D+ENAHO','Educaci%F3n')","javascript:VerFicha('280','03')",https://proyectos.inei.gob.pe/iinei/srienaho/descarga/SPSS/280-Modulo03.zip,https://proyectos.inei.gob.pe/iinei/srienaho/descarga/STATA/280-Modulo03.zip,,enaho,,,3
